,timestamp_iso_x,opc_pm25_x,pm25_env_x,opc_pm10_x,pm10_env_x,id,timestamp_iso_y,opc_pm25_y,pm25_env_y,opc_pm10_y,pm10_env_y
68,2025-10-07 17:28:05+00:00,3.905,7.0,4.383,7.0,69,2025-10-07 17:28:09+00:00,2.365,10.0,8.586,11.0
69,2025-10-07 17:28:10+00:00,3.961,6.0,8.345,7.0,70,2025-10-07 17:28:14+00:00,3.718,9.0,17.02,9.0
70,2025-10-07 17:28:15+00:00,4.921,6.0,19.021,7.0,71,2025-10-07 17:28:19+00:00,3.738,7.0,17.163,8.0
71,2025-10-07 17:28:20+00:00,2.71,5.0,6.137,6.0,72,2025-10-07 17:28:24+00:00,3.486,8.0,4.654,8.0
72,2025-10-07 17:28:25+00:00,4.023,5.0,7.729,6.0,73,2025-10-07 17:28:29+00:00,2.202,7.0,2.603,8.0
73,2025-10-07 17:28:30+00:00,5.868,6.0,18.071,6.0,74,2025-10-07 17:28:34+00:00,3.135,8.0,18.106,8.0
74,2025-10-07 17:28:35+00:00,2.184,6.0,2.463,6.0,75,2025-10-07 17:28:39+00:00,3.55,8.0,7.134,8.0
75,2025-10-07 17:28:40+00:00,3.7,6.0,8.115,6.0,76,2025-10-07 17:28:44+00:00,3.21,9.0,4.411,10.0
76,2025-10-07 17:28:45+00:00,2.626,6.0,3.867,7.0,77,2025-10-07 17:28:49+00:00,2.814,10.0,5.55,11.0
77,2025-10-07 17:28:50+00:00,1.938,6.0,2.897,7.0,78,2025-10-07 17:28:54+00:00,2.228,9.0,3.204,11.0
78,2025-10-07 17:28:55+00:00,3.636,5.0,4.623,7.0,79,2025-10-07 17:28:59+00:00,2.641,9.0,5.265,10.0
79,2025-10-07 17:29:00+00:00,4.521,5.0,7.025,6.0,80,2025-10-07 17:29:04+00:00,2.813,9.0,9.243,12.0
80,2025-10-07 17:29:05+00:00,2.685,5.0,3.941,6.0,81,2025-10-07 17:29:09+00:00,2.512,8.0,3.079,10.0
81,2025-10-07 17:29:10+00:00,2.86,5.0,3.204,7.0,82,2025-10-07 17:29:14+00:00,3.385,8.0,15.099,10.0
82,2025-10-07 17:29:15+00:00,2.626,5.0,2.93,7.0,83,2025-10-07 17:29:19+00:00,3.263,6.0,10.544,9.0
83,2025-10-07 17:29:20+00:00,3.79,5.0,44.934,5.0,84,2025-10-07 17:29:24+00:00,2.836,7.0,9.482,10.0
84,2025-10-07 17:29:25+00:00,3.335,5.0,39.856,5.0,85,2025-10-07 17:29:29+00:00,3.011,6.0,3.332,6.0
85,2025-10-07 17:29:30+00:00,2.314,5.0,2.793,6.0,86,2025-10-07 17:29:34+00:00,3.048,7.0,3.653,7.0
86,2025-10-07 17:29:35+00:00,3.241,5.0,4.554,7.0,87,2025-10-07 17:29:39+00:00,2.825,8.0,3.389,8.0
87,2025-10-07 17:29:40+00:00,2.253,5.0,2.567,6.0,88,2025-10-07 17:29:44+00:00,4.287,10.0,13.975,10.0
88,2025-10-07 17:29:45+00:00,2.363,5.0,2.684,6.0,89,2025-10-07 17:29:49+00:00,4.608,10.0,7.326,10.0
89,2025-10-07 17:29:50+00:00,1.782,5.0,2.058,5.0,90,2025-10-07 17:29:54+00:00,3.554,10.0,6.738,10.0
90,2025-10-07 17:29:55+00:00,2.936,4.0,5.111,5.0,91,2025-10-07 17:29:59+00:00,5.494,10.0,11.745,10.0
91,2025-10-07 17:30:00+00:00,4.802,4.0,12.138,4.0,92,2025-10-07 17:30:04+00:00,1.965,10.0,2.2,10.0
92,2025-10-07 17:30:05+00:00,4.737,5.0,7.348,5.0,93,2025-10-07 17:30:09+00:00,3.901,8.0,9.122,8.0
93,2025-10-07 17:30:10+00:00,5.592,5.0,10.051,5.0,94,2025-10-07 17:30:14+00:00,2.609,7.0,4.144,7.0
94,2025-10-07 17:30:15+00:00,2.718,5.0,19.545,5.0,95,2025-10-07 17:30:19+00:00,3.283,8.0,10.194,8.0
95,2025-10-07 17:30:20+00:00,2.813,4.0,4.322,5.0,96,2025-10-07 17:30:24+00:00,2.04,7.0,26.795,8.0
96,2025-10-07 17:30:25+00:00,4.132,4.0,8.051,5.0,97,2025-10-07 17:30:29+00:00,3.955,7.0,7.618,8.0
